timestamp_vn,symbol,last_price,price_change_pct_1m,rsi14,macd,macd_signal,volume_ratio,bb_position,status
2026-04-25T10:06:31.105+07:00,ETH_USDT,2318.38,0.0168,72.7035,0.40387534,0.14844833,3.325,ABOVE_UPPER,SIGNAL
2026-04-25T10:06:33.342+07:00,TAO_USDT,249.4,0.1566,77.7764,0.19417908,0.14216923,1.8623,ABOVE_UPPER,SIGNAL
2026-04-25T10:06:36.141+07:00,USOIL_USDT,94.897,0.0833,56.1928,-0.00496033,-0.00727839,4.6557,INSIDE,SIGNAL
2026-04-25T10:06:39.116+07:00,SILVER_USDT,75.71,0.0,58.5223,0.0056108,0.00521335,0.0025,INSIDE,NO_SIGNAL
2026-04-25T10:06:41.898+07:00,XRP_USDT,1.4342,0.0349,59.3025,-0.00017731,-0.00036647,3.989,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:06:43.644+07:00,UKOIL_USDT,100.461,-0.0179,49.0972,0.01165572,0.01694951,2.1852,INSIDE,NO_SIGNAL
2026-04-25T10:06:45.524+07:00,ENA_USDT,0.10926,0.0549,53.8078,-1.472e-05,-3.95e-06,1.3844,INSIDE,NO_SIGNAL
2026-04-25T10:06:47.833+07:00,BCH_USDT,455.36,-0.011,67.2491,0.091243,0.06223741,2.5586,INSIDE,NO_SIGNAL
2026-04-25T10:06:49.665+07:00,ZEC_USDT,355.88,-0.1207,46.181,-0.08744315,-0.03930445,0.4388,INSIDE,NO_SIGNAL
2026-04-25T10:06:51.262+07:00,DOGE_USDT,0.09845,0.0,49.0507,-1.233e-05,-1.237e-05,1.4978,INSIDE,NO_SIGNAL
2026-04-25T10:06:53.236+07:00,LINK_USDT,9.416,0.0425,61.5725,0.00039208,-0.00017247,3.4685,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:06:55.094+07:00,APE_USDT,0.2115,0.2845,52.6003,0.00079902,0.00095158,0.4737,INSIDE,NO_SIGNAL
2026-04-25T10:06:56.420+07:00,SUI_USDT,0.951,0.0421,56.577,9.517e-05,0.00016046,2.193,INSIDE,NO_SIGNAL
2026-04-25T10:06:59.177+07:00,PENGU_USDT,0.008528,0.0939,73.8957,1.126e-05,7.56e-06,0.508,ABOVE_UPPER,SIGNAL
2026-04-25T10:07:02.246+07:00,XMR_USDT,368.65,-0.0244,61.551,0.12782129,0.10785638,0.0283,INSIDE,NO_SIGNAL
2026-04-25T10:07:04.748+07:00,ICP_USDT,2.461,0.0,58.3234,7.063e-05,-0.00017836,1.5387,INSIDE,NO_SIGNAL
2026-04-25T10:07:07.379+07:00,HBAR_USDT,0.09099,0.0,66.6134,2.938e-05,1.854e-05,0.4859,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:07:09.493+07:00,AAVE_USDT,94.93,0.0422,61.1195,0.06310574,0.06414178,0.131,INSIDE,NO_SIGNAL
2026-04-25T10:07:12.549+07:00,RAVE_USDT,0.9226,0.0108,56.4231,0.00226549,0.00241668,0.2569,INSIDE,NO_SIGNAL
2026-04-25T10:07:15.069+07:00,TRADOOR_USDT,1.06,0.3788,44.5937,-0.00530676,-0.00177149,0.2694,INSIDE,NO_SIGNAL
2026-04-25T10:07:16.959+07:00,HYPE_USDT,41.168,0.0219,51.2124,0.00156784,0.00268642,0.0643,INSIDE,NO_SIGNAL
2026-04-25T10:07:24.363+07:00,BTC_USDT,77599.1,-0.0012,62.0211,6.48500477,3.79427558,1.2317,INSIDE,NO_SIGNAL
2026-04-25T10:07:25.501+07:00,XAUT_USDT,4693.7,0.0,58.1622,0.11056213,0.06686022,0.1803,INSIDE,NO_SIGNAL
2026-04-25T10:07:27.629+07:00,SOL_USDT,86.31,0.0116,66.0059,0.01830044,0.01026646,0.3074,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:07:29.508+07:00,PEPE_USDT,3.89e-06,-0.0591,53.2072,0.0,0.0,0.6802,INSIDE,NO_SIGNAL
2026-04-25T10:07:30.679+07:00,ETH_USDT,2317.88,0.0004,67.5846,0.40346168,0.19289044,0.4979,INSIDE,NO_SIGNAL
2026-04-25T10:07:32.082+07:00,TAO_USDT,249.45,0.004,78.5509,0.22771916,0.15979106,0.5286,ABOVE_UPPER,SIGNAL
2026-04-25T10:07:34.710+07:00,USOIL_USDT,94.806,0.0063,45.4107,-0.01333753,-0.00972744,0.0052,INSIDE,NO_SIGNAL
2026-04-25T10:07:37.800+07:00,SILVER_USDT,75.71,0.0132,57.1463,0.00510909,0.00506497,0.4143,INSIDE,NO_SIGNAL
2026-04-25T10:07:40.106+07:00,XRP_USDT,1.4338,-0.0209,52.217,-0.00014438,-0.00032331,0.0411,INSIDE,NO_SIGNAL
2026-04-25T10:07:42.742+07:00,UKOIL_USDT,100.47,0.007,50.4367,0.01013301,0.01561315,0.1474,INSIDE,NO_SIGNAL
2026-04-25T10:07:45.748+07:00,ENA_USDT,0.10927,-0.0183,54.0922,-5.65e-06,-3.9e-06,1.1827,INSIDE,NO_SIGNAL
2026-04-25T10:07:48.629+07:00,BCH_USDT,455.32,-0.0022,63.5659,0.08978087,0.06735703,1.0423,INSIDE,NO_SIGNAL
2026-04-25T10:07:51.061+07:00,ZEC_USDT,355.94,0.0169,46.8843,-0.09668492,-0.0507804,0.0059,INSIDE,NO_SIGNAL
2026-04-25T10:07:53.781+07:00,DOGE_USDT,0.09841,-0.0203,42.9166,-1.522e-05,-1.32e-05,0.1452,INSIDE,NO_SIGNAL
